パック名,カテゴリ,型番
連結フレーム,連結フレーム,
アビスアイ,MEGA,M5
ニンジャスピナー,MEGA,M4
ムニキスゼロ,MEGA,M3
スタートデッキ100バトルコレクション,MEGA,MC
MEGAドリームex,MEGA,M2A
インフェルノX,MEGA,M2
メガブレイブ,MEGA,M1L
メガシンフォニア,MEGA,M1S
ブラックボルト,スカーレット＆バイオレット,SV11B
熱風のアリーナ,スカーレット＆バイオレット,SV9A
バトルパートナーズ,スカーレット＆バイオレット,SV9
テラスタルフェスex,スカーレット＆バイオレット,SV8A
超電ブレイカー,スカーレット＆バイオレット,SV8
クリムゾンヘイズ,スカーレット＆バイオレット,SV5A
シャイニートレジャーex,スカーレット＆バイオレット,SV4A
古代の咆哮,スカーレット＆バイオレット,SV4K
レイジングサーフ,スカーレット＆バイオレット,SV3A
黒炎の支配者,スカーレット＆バイオレット,SV3
ポケモンカード151,スカーレット＆バイオレット,SV2A
スノーハザード,スカーレット＆バイオレット,SV2P
クレイバースト,スカーレット＆バイオレット,SV2D
トリプレットビート,スカーレット＆バイオレット,SV1A
スカーレットex,スカーレット＆バイオレット,SV1S
バイオレットex,スカーレット＆バイオレット,SV1V
ホワイトフレア,スカーレット＆バイオレット,SV11W
ロケット団の栄光,スカーレット＆バイオレット,SV10
楽園ドラゴーナ,スカーレット＆バイオレット,SV7A
ステラミラクル,スカーレット＆バイオレット,SV7
ナイトワンダラー,スカーレット＆バイオレット,SV6A
変幻の仮面,スカーレット＆バイオレット,SV6
サイバージャッジ,スカーレット＆バイオレット,SV5M
ワイルドフォース,スカーレット＆バイオレット,SV5K
未来の一閃,スカーレット＆バイオレット,SV4M
VSTARユニバース,その他,S12A
スターバース,その他,S9
VMAXクライマックス,その他,S8B
TAG TEAM GX タッグオールスターズ,その他,SM12A
ドリームリーグ,その他,SM11B
