ナンバー,カード名,パック名,商品URL
M5 082/081,カリキリ,アビスアイ,https://pokebuchi.base.shop/items/146721807
M5 083/081,グレンアルマ,アビスアイ,https://pokebuchi.base.shop/items/146721831
M5 084/081,トサキント,アビスアイ,https://pokebuchi.base.shop/items/145657065
M5 085/081,アシレーヌ,アビスアイ,https://pokebuchi.base.shop/items/146238419
M5 087/081,ヤドラン,アビスアイ,https://pokebuchi.base.shop/items/145474819
M5 090/081,ザルード,アビスアイ,https://pokebuchi.base.shop/items/146721905
M5 114/081,メガダークライex,アビスアイ,https://pokebuchi.base.shop/items/147951571
M5 115/081,モルペコex,アビスアイ,https://pokebuchi.base.shop/items/145475030
M4 084/083,ハリマロン,ニンジャスピナー,https://pokebuchi.base.shop/items/144897999
M4 085/083,フォッコ,ニンジャスピナー,https://pokebuchi.base.shop/items/144897940
M2a,MEGAドリームex ARコンプリート,連結フレーム,https://pokebuchi.base.shop/items/145319291
,カイオーガ / グラードン,連結フレーム,https://pokebuchi.base.shop/items/152868253
M4 086/083,ケロマツ,ニンジャスピナー,https://pokebuchi.base.shop/items/144897790
M4 087/083,ゲコガシラ,ニンジャスピナー,https://pokebuchi.base.shop/items/144897736
M4 088/083,デンリュウ,ニンジャスピナー,https://pokebuchi.base.shop/items/144897659
M4 089/083,ゼルネアス,ニンジャスピナー,https://pokebuchi.base.shop/items/144897582
M4 090/083,ネンドール,ニンジャスピナー,https://pokebuchi.base.shop/items/144897519
M4 091/083,クロバット,ニンジャスピナー,https://pokebuchi.base.shop/items/144897451
M4 092/083,メタング,ニンジャスピナー,https://pokebuchi.base.shop/items/144897351
M4 093/083,ヌメイル,ニンジャスピナー,https://pokebuchi.base.shop/items/144897291
M4 094/083,ケンタロス,ニンジャスピナー,https://pokebuchi.base.shop/items/144897231
M4 095/083,ミルホッグ,ニンジャスピナー,https://pokebuchi.base.shop/items/144897114
M3 081/080,コフーライ,ムニキスゼロ,https://pokebuchi.base.shop/items/144980145
M3 082/080,モクロー,ムニキスゼロ,https://pokebuchi.base.shop/items/144980361
M3 083/080,ファイアロー,ムニキスゼロ,https://pokebuchi.base.shop/items/144980505
M3 084/080,アマルルガ,ムニキスゼロ,https://pokebuchi.base.shop/items/144980619
M3 085/080,デデンネ,ムニキスゼロ,https://pokebuchi.base.shop/items/144980703
M4 086/083 ／ M4 087/083 ／ M4 114/083,ケロマツ / ゲコガシラ / メガゲッコウガex,連結フレーム / ニンジャスピナー,https://pokebuchi.base.shop/items/144898625
M3 086/080,ピッピ,ムニキスゼロ,https://pokebuchi.base.shop/items/144980781
M3 087/080,ニャスパー,ムニキスゼロ,https://pokebuchi.base.shop/items/144980861
M3 088/080,ダイノーズ,ムニキスゼロ,https://pokebuchi.base.shop/items/144980980
M3 089/080,チゴラス,ムニキスゼロ,https://pokebuchi.base.shop/items/144981033
